,object  ,precipitant,Effect,Related Drugs,Options
68,WARFARIN,NAPROXEN,Additive risk of bleeding,"·Opioid analgesics are not known to interact with warfarin ·Acetaminophen (Tylenol®) may alter the warfarin response but the effect is relatively small. ·Antiplatelet therapy with aspirin primarily increases the risk of minor bleeding ·Non-acetylated salicylates (e.g., salsalate [Disalcid]) may be safer than traditional NSAIDs ·COX-2 inhibitors do not affect platelet function and probably cause less GI erosion but no evidence of decreased GI bleeding risk","Usually Avoid ·Consider Alternatives: A non-NSAID alternative such as acetaminophen or opioid analgesics is preferred. To be cautious, limit the acetaminophen dose to 2 g/day for no more than 7 days. INR should be monitored closely when acetaminophen exceeds 2 g/day or chronic use >7 days occurs. ·Monitor: If any NSAID is used with warfarin, monitor carefully for evidence of bleeding, especially from the GI tract."
69,WARFARIN,OXAPROZIN,Additive risk of bleeding,"·Opioid analgesics are not known to interact with warfarin ·Acetaminophen (Tylenol®) may alter the warfarin response but the effect is relatively small. ·Antiplatelet therapy with aspirin primarily increases the risk of minor bleeding ·Non-acetylated salicylates (e.g., salsalate [Disalcid]) may be safer than traditional NSAIDs ·COX-2 inhibitors do not affect platelet function and probably cause less GI erosion but no evidence of decreased GI bleeding risk","Usually Avoid ·Consider Alternatives: A non-NSAID alternative such as acetaminophen or opioid analgesics is preferred. To be cautious, limit the acetaminophen dose to 2 g/day for no more than 7 days. INR should be monitored closely when acetaminophen exceeds 2 g/day or chronic use >7 days occurs. ·Monitor: If any NSAID is used with warfarin, monitor carefully for evidence of bleeding, especially from the GI tract."
70,WARFARIN,PIROXICAM,Additive risk of bleeding,"·Opioid analgesics are not known to interact with warfarin ·Acetaminophen (Tylenol®) may alter the warfarin response but the effect is relatively small. ·Antiplatelet therapy with aspirin primarily increases the risk of minor bleeding ·Non-acetylated salicylates (e.g., salsalate [Disalcid]) may be safer than traditional NSAIDs ·COX-2 inhibitors do not affect platelet function and probably cause less GI erosion but no evidence of decreased GI bleeding risk","Usually Avoid ·Consider Alternatives: A non-NSAID alternative such as acetaminophen or opioid analgesics is preferred. To be cautious, limit the acetaminophen dose to 2 g/day for no more than 7 days. INR should be monitored closely when acetaminophen exceeds 2 g/day or chronic use >7 days occurs. ·Monitor: If any NSAID is used with warfarin, monitor carefully for evidence of bleeding, especially from the GI tract."
71,WARFARIN,SULINDAC,Additive risk of bleeding,"·Opioid analgesics are not known to interact with warfarin ·Acetaminophen (Tylenol®) may alter the warfarin response but the effect is relatively small. ·Antiplatelet therapy with aspirin primarily increases the risk of minor bleeding ·Non-acetylated salicylates (e.g., salsalate [Disalcid]) may be safer than traditional NSAIDs ·COX-2 inhibitors do not affect platelet function and probably cause less GI erosion but no evidence of decreased GI bleeding risk","Usually Avoid ·Consider Alternatives: A non-NSAID alternative such as acetaminophen or opioid analgesics is preferred. To be cautious, limit the acetaminophen dose to 2 g/day for no more than 7 days. INR should be monitored closely when acetaminophen exceeds 2 g/day or chronic use >7 days occurs. ·Monitor: If any NSAID is used with warfarin, monitor carefully for evidence of bleeding, especially from the GI tract."
72,WARFARIN,TOLMETIN,Additive risk of bleeding,"·Opioid analgesics are not known to interact with warfarin ·Acetaminophen (Tylenol®) may alter the warfarin response but the effect is relatively small. ·Antiplatelet therapy with aspirin primarily increases the risk of minor bleeding ·Non-acetylated salicylates (e.g., salsalate [Disalcid]) may be safer than traditional NSAIDs ·COX-2 inhibitors do not affect platelet function and probably cause less GI erosion but no evidence of decreased GI bleeding risk","Usually Avoid ·Consider Alternatives: A non-NSAID alternative such as acetaminophen or opioid analgesics is preferred. To be cautious, limit the acetaminophen dose to 2 g/day for no more than 7 days. INR should be monitored closely when acetaminophen exceeds 2 g/day or chronic use >7 days occurs. ·Monitor: If any NSAID is used with warfarin, monitor carefully for evidence of bleeding, especially from the GI tract."
73,WARFARIN,FLUVASTATIN,Increased warfarin concentrations and bleeding risk,·See warfarin and fibrates ·Atorvastatin (Lipitor®) and pravastatin (Pravachol®) are not known to interact with warfarin,"Take Precautions ·Consider Alternatives: Atorvastatin and pravastatin appear to be safer alteratives ·Monitor: If alternatives are not appropriate, carefully monitor the INR if these agents are started, stopped, or changed in dosage and adjust the warfarin dose accordingly. If warfarin is started in a patient receiving these agents conservative doses of warfarin should be used until response is established."
74,WARFARIN,LOVASTATIN,Increased warfarin concentrations and bleeding risk,·See warfarin and fibrates ·Atorvastatin (Lipitor®) and pravastatin (Pravachol®) are not known to interact with warfarin,"Take Precautions ·Consider Alternatives: Atorvastatin and pravastatin appear to be safer alteratives ·Monitor: If alternatives are not appropriate, carefully monitor the INR if these agents are started, stopped, or changed in dosage and adjust the warfarin dose accordingly. If warfarin is started in a patient receiving these agents conservative doses of warfarin should be used until response is established."
75,WARFARIN,ROSUVASTATIN,Increased warfarin concentrations and bleeding risk,·See warfarin and fibrates ·Atorvastatin (Lipitor®) and pravastatin (Pravachol®) are not known to interact with warfarin,"Take Precautions ·Consider Alternatives: Atorvastatin and pravastatin appear to be safer alteratives ·Monitor: If alternatives are not appropriate, carefully monitor the INR if these agents are started, stopped, or changed in dosage and adjust the warfarin dose accordingly. If warfarin is started in a patient receiving these agents conservative doses of warfarin should be used until response is established."
76,WARFARIN,SIMVASTATIN,Increased warfarin concentrations and bleeding risk,·See warfarin and fibrates ·Atorvastatin (Lipitor®) and pravastatin (Pravachol®) are not known to interact with warfarin,"Take Precautions ·Consider Alternatives: Atorvastatin and pravastatin appear to be safer alteratives ·Monitor: If alternatives are not appropriate, carefully monitor the INR if these agents are started, stopped, or changed in dosage and adjust the warfarin dose accordingly. If warfarin is started in a patient receiving these agents conservative doses of warfarin should be used until response is established."
77,WARFARIN,SULFAMETHOXAZOLE/TRIMETHOPRIM  ,Increased warfarin concentrations and bleeding risk,"·Oral penicillin, amoxicillin, ampicillin, and oral cephalosporins and penicillins havenot been shown to interact with warfarin ·Quinolones and macrolides have been reported to increase the anticoagulant effects of warfarin","Usually Avoid ·Consider Alternatives: Oral penicillins and cephalosporins are preferred alternatives. Quinolones and macrolides may be relatively safer to use in combination with warfarin than sulfamethoxazole or metronidazole. ·Monitor: When alternatives are not appropriate, carefully monitor the INR and for signs of bleeding. The warfarin dosage may need to be temporarily reduced. If warfarin is started in a patient receiving these agents conservative doses of warfarin should be used until response is established. Also monitor for decreased anticoagulant effect after antibiotic therapy is discontinued. ·Note:Nearly all antibiotics have been reported in isolated cases to interact with warfarin; caution should be used when adding any antibiotic to a patient on warfarin therapy."
78,WARFARIN,METRONIDAZOLE,Increased warfarin concentrations and bleeding risk,"·Oral penicillin, amoxicillin, ampicillin, and oral cephalosporins and penicillins havenot been shown to interact with warfarin ·Quinolones and macrolides have been reported to increase the anticoagulant effects of warfarin","Usually Avoid ·Consider Alternatives: Oral penicillins and cephalosporins are preferred alternatives. Quinolones and macrolides may be relatively safer to use in combination with warfarin than sulfamethoxazole or metronidazole. ·Monitor: When alternatives are not appropriate, carefully monitor the INR and for signs of bleeding. The warfarin dosage may need to be temporarily reduced. If warfarin is started in a patient receiving these agents conservative doses of warfarin should be used until response is established. Also monitor for decreased anticoagulant effect after antibiotic therapy is discontinued. ·Note:Nearly all antibiotics have been reported in isolated cases to interact with warfarin; caution should be used when adding any antibiotic to a patient on warfarin therapy."
79,WARFARIN,LEVOTHYROXINE,Increased bleeding risk,"Take Precautions ·Monitor: For patients on a therapeutic dose of warfarin, more frequent INR monitoring is required (e.g., day 4, day 7, and weekly thereafter or as clinically indicated) if thyroid hormone therapy is started. In such cases, adownward adjustment of the warfarin dosage will often be needed to avoid excessive anticoagulation and bleeding. The risk is probably minimal if warfarin therapy is started in a euthyroid patient stabilized on thyroid replacement therapy. However, conservative doses of warfarin should be used until response is established if warfarin is started in a patient receiving these agents.",
80,WARFARIN,LIOTHYRONINE,Increased bleeding risk,"Take Precautions ·Monitor: For patients on a therapeutic dose of warfarin, more frequent INR monitoring is required (e.g., day 4, day 7, and weekly thereafter or as clinically indicated) if thyroid hormone therapy is started. In such cases, adownward adjustment of the warfarin dosage will often be needed to avoid excessive anticoagulation and bleeding. The risk is probably minimal if warfarin therapy is started in a euthyroid patient stabilized on thyroid replacement therapy. However, conservative doses of warfarin should be used until response is established if warfarin is started in a patient receiving these agents.",
81,WARFARIN,LIOTRIX ,Increased bleeding risk,"Take Precautions ·Monitor: For patients on a therapeutic dose of warfarin, more frequent INR monitoring is required (e.g., day 4, day 7, and weekly thereafter or as clinically indicated) if thyroid hormone therapy is started. In such cases, adownward adjustment of the warfarin dosage will often be needed to avoid excessive anticoagulation and bleeding. The risk is probably minimal if warfarin therapy is started in a euthyroid patient stabilized on thyroid replacement therapy. However, conservative doses of warfarin should be used until response is established if warfarin is started in a patient receiving these agents.",
